Employee ID,SSN,HCE Status,Date of Birth,Hire Date,Termination Date,Compensation,Pre-Tax Contributions,After-Tax Contributions,Roth Contributions,Employer Match,Employer Non-Elective
EMP001,123456789,Y,1975-03-15,2015-06-01,,285000,23500,0,0,11400,8550
EMP002,234567890,Y,1968-11-22,2010-03-15,,320000,23500,0,0,12800,9600
EMP003,345678901,Y,1980-07-08,2018-09-01,2024-03-15,195000,15600,0,0,7800,5850
EMP004,456789012,Y,1972-01-30,2012-01-10,,240000,23500,0,0,9600,7200
EMP005,567890123,Y,1985-09-12,2020-02-20,,175000,14000,0,0,7000,5250
EMP006,678901234,Y,1978-04-05,2014-08-01,,210000,18900,0,0,8400,6300
EMP007,789012345,Y,1970-12-11,2008-02-14,2024-08-31,265000,23500,0,0,10600,7950
EMP008,890123456,Y,1967-06-30,2005-09-12,,350000,23500,0,0,14000,10500
EMP009,901234567,N,1990-04-25,2022-07-01,,82000,4920,0,3280,3280,2460
EMP010,012345678,N,1988-12-03,2019-11-15,,95000,7600,0,2850,3800,2850
EMP011,111222333,N,1995-06-18,2023-03-01,,68000,4080,0,2040,2720,2040
EMP012,222333444,N,1982-08-27,2016-04-10,,110000,8800,5500,0,4400,3300
EMP013,333444555,N,1992-10-05,2021-01-18,2024-06-30,72000,4320,0,2160,2880,2160
EMP014,444555666,N,1987-05-20,2017-06-30,,88000,5280,0,2640,3520,2640
EMP015,555666777,N,1983-03-28,2019-09-05,,98000,7840,0,2940,3920,2940
EMP016,666777888,N,1996-07-16,2024-01-08,,62000,3720,0,1860,2480,1860
EMP017,777888999,N,1991-11-29,2020-08-10,,78000,4680,0,2340,3120,2340
EMP018,888999000,N,1986-04-07,2018-03-25,,105000,8400,5250,0,4200,3150
EMP019,999000111,N,1979-08-19,2013-12-01,,155000,12400,7750,0,6200,4650
EMP020,100200300,N,1993-01-24,2022-04-15,,70000,4200,0,2100,2800,2100
EMP021,200300400,N,1984-02-08,2016-10-03,,125000,10000,6250,0,5000,3750
EMP022,300400500,N,1997-12-15,2024-06-01,,58000,3480,0,1740,2320,1740
EMP023,400500600,N,1981-05-11,2015-02-28,,135000,10800,6750,0,5400,4050
EMP024,500600700,N,1989-09-22,2021-11-08,,85000,5100,0,2550,3400,2550
EMP025,600700800,N,1994-03-17,2023-01-10,,65000,3900,0,1950,2600,1950
EMP026,700800900,N,1985-10-30,2017-08-15,,92000,5520,0,2760,3680,2760
EMP027,800900100,N,1998-05-22,2024-02-01,,55000,3300,0,1650,2200,1650
EMP028,900100200,N,1980-12-05,2014-05-20,,108000,8640,5400,0,4320,3240
EMP029,101112131,N,2004-03-15,2023-06-01,,45000,2700,0,1350,1800,1350
EMP030,121314151,N,1990-05-10,2024-04-15,,72000,4320,0,2160,2880,2160
EMP031,131415161,N,1995-08-20,2023-09-01,2024-05-31,68000,4080,0,2040,2720,2040
EMP032,141516171,N,2003-11-25,2022-08-15,,52000,3120,0,1560,2080,1560
EMP033,151617181,N,1992-02-14,2024-08-01,,65000,3900,0,1950,2600,1950
